accession,name,monoisotopic_mass,formula
HMDB0283644,"PS(24:0/20:4(7E,9E,11Z,13E)-3OH(5S,6R,15S))",943.61497896,C50H90NO13P
HMDB0283645,"PS(20:4(7E,9E,11Z,13E)-3OH(5S,6R,15S)/24:0)",943.61497896,C50H90NO13P
HMDB0283646,"PS(24:0/20:3(8Z,11Z,14Z)-2OH(5,6))",929.635714404,C50H92NO12P
HMDB0283647,"PS(20:3(8Z,11Z,14Z)-2OH(5,6)/24:0)",929.635714404,C50H92NO12P
HMDB0283648,PS(24:0/5-iso PGF2VI),917.599328896,C48H88NO13P
HMDB0283649,PS(5-iso PGF2VI/24:0),917.599328896,C48H88NO13P
HMDB0283650,"PS(24:0/20:4(6E,8Z,11Z,14Z)+=O(5))",909.609499656,C50H88NO11P
HMDB0283651,"PS(20:4(6E,8Z,11Z,14Z)+=O(5)/24:0)",909.609499656,C50H88NO11P
HMDB0283652,"PS(24:0/20:4(5Z,8Z,11Z,13E)+=O(15))",909.609499656,C50H88NO11P
HMDB0283653,"PS(20:4(5Z,8Z,11Z,13E)+=O(15)/24:0)",909.609499656,C50H88NO11P
HMDB0283654,"PS(24:0/18:2(10E,12Z)+=O(9))",885.609499656,C48H88NO11P
HMDB0283655,"PS(18:2(10E,12Z)+=O(9)/24:0)",885.609499656,C48H88NO11P
HMDB0283656,"PS(24:0/18:2(9Z,11E)+=O(13))",885.609499656,C48H88NO11P
HMDB0283657,"PS(18:2(9Z,11E)+=O(13)/24:0)",885.609499656,C48H88NO11P
HMDB0283658,"PS(24:0/18:1(12Z)-2OH(9,10))",905.635714404,C48H92NO12P
HMDB0283659,"PS(18:1(12Z)-2OH(9,10)/24:0)",905.635714404,C48H92NO12P
HMDB0283660,"PS(24:0/18:1(12Z)-O(9S,10R))",887.62514972,C48H90NO11P
HMDB0283661,"PS(18:1(12Z)-O(9S,10R)/24:0)",887.62514972,C48H90NO11P
HMDB0283662,"PS(18:1(9Z)-O(12,13)/24:0)",887.62514972,C48H90NO11P
HMDB0283663,"PS(24:0/20:5(5Z,8Z,11Z,14Z,16E)-OH(18R))",909.609499656,C50H88NO11P
HMDB0283664,"PS(20:5(5Z,8Z,11Z,14Z,16E)-OH(18R)/24:0)",909.609499656,C50H88NO11P
