
ID,IGF.1_1_Met_PB_06.12.20,IGF.1_2_1_Met_PB_06.12.20,IGF.1_3_1_Met_PB_06.12.20,Rapamycin_1_Met_PB_06.12.20,Rapamycin_2_1_Met_PB_06.12.20,Rapamycin_3_1_Met_PB_06.12.20,QC1_wdh,QC2,V_Control_1_Met,V_Control_2_1_Met,V_Control_3_1_Met
ID1049,6.82256833506001,6.81393782515344,6.86675260404454,6.88672099856619,6.90367299636193,6.81902174165812,6.88299796145265,6.86847310327383,6.80003891208547,6.86891904985326,6.89468371731923
ID1050,4.80755339568165,5.0315541985936,4.88702298770192,5.39523307287628,5.1596936149719,5.55098504037046,5.08943693977317,5.01528165179702,5.5215972860366,5.03888830659076,5.49213252361201
ID1051,4.71935311316859,,5.23161543493073,,,,,4.95486886423312,,,
ID1052,6.07337882119702,6.06844911830104,6.09386071963984,6.12828880664367,6.14181660553785,6.06592521146435,6.13292388325015,6.11187910692759,6.04212162948879,6.11548403191041,6.14190057223972
ID1053,4.49528038476459,4.7009978440627,4.59747267390192,5.08178606779075,4.89152279674695,5.22310749270389,4.78715350831896,4.7321086417968,5.14115189993362,,5.16729030698882
ID1054,4.39721757116518,4.8958774374176,4.90029739179014,,,,,4.65697626407625,,,
ID1055,5.45567557599888,5.46324374628475,5.48966680149319,5.50678568242614,5.53992040281546,5.44859070529722,5.5267624579174,5.504319644638,5.43155999226498,5.50698035964433,5.53659623771849
ID1056,4.69496538161226,5.00574215435137,4.85739051153935,5.44122510155953,5.18988191152205,5.61805290669811,5.09892185641735,4.99999918386461,5.47130438910957,5.04858715472621,5.52667454186282
ID1057,4.79617336146258,5.40326424419067,5.39619522829503,,5.03239352749603,,4.86696011383315,5.15978098399114,,4.39958446696673,
ID1058,4.69696565102493,4.70556503907104,4.72471121181813,4.76062558901087,4.77603472626556,4.66864176903964,4.73585724193968,4.68490552649727,4.6698796520092,4.73872669640873,4.75569088993105
ID1059,4.49351328412282,4.73893732821749,,5.08171193122337,4.89750702543131,5.25133403569516,4.80818848507105,4.73762241919745,5.0990815562431,4.74811687708437,5.17853523441676
ID1060,,5.0670057660011,5.06757465376751,,,,,4.87633943014303,,,
ID1061,4.05827825354096,4.07105359508561,4.15086804319838,,,,4.06246570545171,4.02756189087149,3.98988329484078,,4.20300632477146
ID1062,4.31627839772908,,,4.8915655507478,4.68506411372862,5.06655570686122,4.6443254838485,4.56644430785678,,,5.01350907150941
ID1063,,5.02219508422511,4.94643891742375,,4.63990279123936,,,4.76280683840407,,,
ID1064,4.80003981031154,4.91457788246938,4.833392807055,4.8042299432491,4.84595549688744,4.93406551012106,4.88838906560876,4.84027668755745,4.83387475956849,4.6711192167362,4.92365177493572
ID1065,4.5595134833377,4.69623957570454,4.59804295733876,4.54809810270297,4.57742524166395,4.64712243314625,4.65054343887895,4.58145613471482,4.69149799469329,4.47824373227993,4.74509907712672
ID1066,4.10530065179143,4.11500096103325,4.15243484995232,,,,4.0232815918787,,4.09355920244915,4.11280024064536,4.11029194987305
ID1067,4.16367373947301,4.30698210622116,4.17053554044397,,,,3.9270732886448,,,3.97501977560959,4.11906286542581
ID1068,4.74128092078575,4.85040702569314,4.74950437596065,4.80327293376328,4.96138038835322,4.8727179568275,4.94905714408337,,4.79475482942106,4.76013754560823,
ID1069,,5.11642099365534,5.02474226554845,5.05142679132753,5.19138542086466,5.09216254683736,,5.07876694410293,,4.99326196748591,
ID1070,4.47410062596138,4.3777305704509,4.36543252831888,4.43526593572834,4.42624703243309,4.35892797624559,4.45268019389449,4.38541600391561,4.21536967256337,,4.39131927302098
ID1071,,5.41790203721485,5.23276791649863,,,,4.81241109949364,4.80547110868418,,4.64933159906672,4.91474535849059
ID1072,4.31539253535037,4.24237691069935,4.23120154623888,4.37187416917454,4.22789699701933,4.48224028329804,4.31112038831622,4.21472505167849,4.1715272746706,,4.29719342614387
ID1073,5.31000258414439,5.79709785331525,5.59449111532198,4.80007055042131,4.99695256470762,4.64348734004745,5.24956944619144,5.25589874927417,5.15416410288167,5.18059135648151,5.45381990295795
ID1074,5.45875382644699,5.42092085825151,5.33821225658368,5.51072074752091,5.37738642298359,5.44484357808736,5.39385113661949,5.35472192526197,5.31139955889487,4.9888444970348,5.2996629947344
ID1075,4.99579242553087,5.4493567101536,5.25294491803833,4.54441228156492,4.71287710153832,,4.95021338259322,4.93762116421259,4.8416024081354,4.88219173944122,5.13294245559794
ID1076,5.10966727078295,5.08407551496651,4.99439297733865,5.18035745563284,5.03589245715266,5.08335054798664,5.10996125216495,5.05772253821039,4.9596645451254,4.67056474398704,4.96353102475806
ID1077,4.51047730725508,4.91557225363692,4.70740192333773,,4.31905513849115,,4.46967947737821,4.47726764276606,4.36630141323135,4.38516814596914,4.61228535368431
ID1078,4.58177373591992,4.55732374963357,4.44209847978485,4.59244272010116,4.51414490422202,4.53511297121098,4.53146520591016,4.51400964272318,4.39690126034891,,4.4990426179219
ID1079,4.427959111043,4.63403014708198,4.4630026445939,,,,,4.42760377194537,,4.35446947159605,4.56750281795523
ID1080,4.24889114459438,4.23343367386782,4.22679288001853,,4.06462494225943,,4.21649432399171,4.2075367254557,4.13107279716502,4.24633254447989,4.20874643480896
ID1081,4.58313454894604,4.63048617556791,4.59439310054754,,,4.5509036383533,4.64711031831194,,4.59595368325761,4.70444935064793,4.62678959218294
ID1082,4.73078130014348,4.70601064837584,4.64237409146154,,,,4.66399130329666,,4.65567913684313,4.67587632026496,4.66933771990456
ID1083,4.08992711893981,4.11417132649483,4.10865074765048,,,,4.12037475077745,4.14671426103708,4.04041649210289,,4.09415590860298
ID1084,4.99389960474787,5.01968713679996,5.01957242916908,4.63075032227513,4.73981227089331,4.68863575049678,4.95181666661095,4.92902028330519,4.79122644667665,4.87832046355927,4.89681487835307
ID1085,5.06143574430463,5.20892902064916,5.15405042178494,4.76411342615541,4.864460240833,4.79687998824375,4.97002305636053,5.02826846533372,5.0455874396116,4.95330888320942,4.99428109868362
ID1086,4.56481804866956,4.55465521200516,4.65550004133557,4.15124105437271,4.23901816537148,3.96134508642893,4.52088437543818,4.51660104960647,4.48778587784574,4.5618694306188,4.564304780825
ID1087,4.67871099330558,4.70978445404545,4.71256682617048,4.33149139430448,4.44635539994302,4.43045469895014,4.68565072697012,4.67813195235227,4.52693508843628,4.57471992796903,4.59736990853502
ID1088,4.75182580210995,4.92410111322104,4.85362959884167,4.48928329855018,4.58738316906013,4.48575599082818,,,4.75749433143589,4.69873442151912,
ID1089,4.01351778678355,3.98867222594799,4.10456888117997,,,,4.02254701145483,3.98062113877641,3.91756060276696,4.03860746262466,4.05197600588476
