ID,IGF_1_1_1_Met_PB_06_12_20,IGF_1_2_1_Met_PB_06_12_20,IGF_1_3_1_Met_PB_06_12_20,QC1,QC2,Rapamycin_1_1_Met_PB_6_12_20,Rapamycin_2_1_Met_PB_6_12_20,Rapamycin_3_1_Met_PB_6_12_20,V__Control_1_1_Met_PB_6_12_20,V__Control_2_1_Met_PB_6_12_20,V__Control_3_1_Met_PB_6_12_20
FT0389,4.23447009197646,4.18312504752839,4.26676104442638,4.17859893919732,4.15345583098691,4.19856238776254,4.22026194857541,4.83644847493614,4.24578930200193,4.23316769391222,4.04750875286286
FT0390,6.19499809187108,6.17596459987415,6.30428883580623,6.30465038471651,6.28553084929466,6.17618898792599,5.79595291059902,6.42344914916775,6.34301172857305,5.93989057182383,5.92135419667275
FT0391,4.34831046220109,4.5941624678171,4.58805334140897,4.78484916883581,4.64030275433871,4.87443466652749,4.65175942306068,5.18233003080289,4.75695246726428,5.29115554285252,4.57187862145894
FT0392,4.29360745131318,4.06636347056695,4.17333797290086,4.24570427438838,4.26783885178952,4.40794193265778,4.3393511141936,4.59932944433941,4.19928379608678,4.304570442113,4.14764776446167
FT0393,4.00730311740588,3.84932922599344,3.89077174976492,3.91637421080352,4.04428269920478,4.09196461177028,4.2439843781141,4.595435476395,4.00435563777711,4.0957521605703,3.87928792138472
FT0394,5.4104571144339,5.38132117116893,5.48806066506726,5.48936124089256,5.45341279684037,5.38836892344794,5.05833262127697,5.6375455483715,5.53198561234176,5.1974952375462,5.10367171403206
FT0395,3.50437365863273,3.82836489800714,3.9434793347552,3.98511493485783,3.91708791252329,4.11941453937073,3.89871758674316,4.28049430273432,4.01136817910306,4.53925054780556,3.84736960532489
FT0396,4.25535414479201,4.1044580606062,4.19664870127284,4.09063160666596,3.93852226629098,3.9029889597752,3.85721411135904,3.14385006955719,4.04403265468031,4.02550086288923,3.99088382705695
FT0397,3.94632491200161,4.07798084562366,3.91818101294944,3.54774452500447,3.44914273815891,3.05694962794918,3.21723972855474,2.76822418844569,3.27219228856777,3.04457849087014,3.40673715392945
FT0398,4.87134259757283,4.83514396436387,4.93789483380662,5.00294361798789,4.91287318388687,4.88148399537086,4.6471833686626,5.16491815325738,4.98832022651178,4.68964170638193,4.6409198502331
FT0399,4.17518353316475,3.8955714687664,4.1257036411919,4.3379537474706,4.26516202101578,4.05326642250682,4.13189190487979,5.2551900059359,4.3194471549674,4.24864776151115,4.15021127466237
FT0400,4.40263942959243,4.40433934249646,4.03826908427959,3.9639932062278,3.81382400675033,3.88785117618669,3.70881366606648,,3.69130069500939,3.77136461449314,3.85142171337398
FT0401,4.22875424030018,4.15581738356901,4.20443336503387,3.95146214054847,3.92917995066722,3.89520093613849,3.89551028870592,3.51916589413779,3.79826123330842,3.96337690580686,3.83688730129871
FT0402,4.43291172883651,4.46530259721299,4.42875965312961,4.36585166275373,4.33651644088615,4.40090665002902,4.43110814790318,3.6071996621712,4.30018757531046,4.37041246665056,4.31494848715994
FT0403,4.4621860233052,4.41797661551004,4.40878083018264,4.43813274736996,4.34644653667455,4.12904443195058,4.1489743357611,3.11439664273681,4.41902083180536,4.46325778958357,4.48851459437487
FT0404,3.90068401547195,3.73980217434718,3.79676298746837,4.05911200876393,4.13367981415084,4.25076211552667,4.22510448889398,4.27562402587143,4.09841625233362,4.2052038295406,4.12565501229824
FT0405,3.31892359280211,3.34063659421197,3.19820265294509,3.30222655343985,3.36369293818531,3.47555968357787,3.97756633480558,,4.00846031347626,4.11767355187493,3.36918042014872
FT0406,4.68874633916336,4.97633698571548,4.97679325017852,5.30960800273328,5.31633938371789,5.65772322550438,5.57412898928788,5.26247922841503,5.34899115146442,5.41684670895035,5.34589345212742
FT0407,4.49097406717832,4.30190866065681,4.44845136125795,4.52576880211371,4.38821617735447,4.36729187669707,4.48924769348069,4.16110060641694,4.38363983002624,4.46544674521755,4.38278750003664
FT0408,7.19979882268295,7.09786380439818,7.1854917256388,7.22884009623053,7.24034199725058,7.24761980561677,7.23945720131452,7.56188865547309,7.21555770690817,7.29231694858452,7.17588262408275
FT0409,5.6187308601238,4.81902919158009,4.76424708296767,4.47106766225987,4.55998740782174,4.31965724404651,4.36851416596139,3.44409843360653,4.25394323940632,4.14121759192614,4.16156226551768
FT0410,3.78464861637806,3.82814364329623,3.82665910692365,4.4534795829847,4.44937563557141,4.7484666660503,4.66035501079029,4.33297937264573,4.45008709240062,4.5229231676401,4.40597782972702
FT0411,4.9508876334093,3.94867031789059,4.55807863185946,4.67022751481614,4.73290059144378,4.98950695232681,3.84481315810264,5.08843636143107,4.71029363824997,4.08635849815175,4.50922589958426
FT0412,5.96228082479244,5.87708778996346,5.96007812200272,6.00358380547951,6.01411194656635,6.05451650417272,6.04698528951792,6.3823875420384,5.9867611686941,6.05985247491035,5.96651674320697
FT0413,4.88260312960665,4.07738913997768,4.0189445503379,3.50731718958522,3.72718720554785,3.44454716778613,3.62991924417689,2.52665692353884,3.67994743987464,3.44494893273139,3.14886746173872
FT0414,4.87407752600281,5.72577184526784,5.5458499954412,4.89382248925933,4.96464681719432,5.11208828802339,5.27708849002162,4.70481185767425,4.61125298012194,4.64424366575938,4.80448097818046
FT0415,4.2706233479814,4.1528319169071,3.97678642136909,3.99642978452069,3.72750905123878,3.51734631629124,3.62031444438341,3.38712872129294,4.20728657620488,4.00164005340496,3.97681574799962
FT0416,5.28817417365689,5.21784138355748,5.27924308308992,5.34818291902536,5.35728797554604,5.3684770056108,5.37086784874973,5.70359757677545,5.28735708687876,5.41360235336645,5.29397848596532
FT0417,4.7701568329515,4.62505075932658,4.7369765659152,4.8050315273592,4.86128741131125,4.69726610954978,4.59700899365705,4.07580911969684,4.62716723863313,4.73280123350714,4.63368571043087
FT0418,3.93228955388563,4.81174439748278,4.60469680797982,3.86940960035964,3.82190910142908,4.0239562872895,4.31385670499243,3.14071304257877,3.38935145281971,3.42048569155504,3.88634111784284
FT0419,4.76893320283566,4.59000317411193,4.65862713991588,4.66271084320759,4.6594297961548,4.76245586455837,4.67809480509705,4.34504868711681,4.72045284414961,4.76812816833236,4.68376886905167
FT0420,4.51434681842428,4.30932677838275,4.40045082911232,4.52890093393749,4.4887928675775,3.98049861334282,3.97450954779141,3.73835630288785,3.98158176490878,4.12338298607064,3.9300168432843
